Poster Category	Easel Board	Poster Title	Students	Faculty	Mount ID	Side	X Coordinate	Y Coordinate	Orientation	Color
Biology	B-1	Mitochondrial Activity in D. Melanogaster Overexpressing AFG3L2 and CG2658	"Ethan Chin, Abigail Ashby, Anastasiia Derepa, Kateri Trujillo"	"Jae Hur, Associate Professor of Biology, PhD, Harvard University"	B1B2	West	488	586	vertical	#00bf63
Biology	B-2	Differences in dsrA transcription levels in different genetic backgrounds during cold stress	"Coco Peng, Grey Seymore"	"Daniel M. Stoebel, Professor of Biology Chair, Department of Biology, PhD, Stony Brook University"	B1B2	East	488	586	vertical	#00bf63
Biology	B-3	"Epidemiology of Infections Caused by Vibrionaceae Infrequently Associated with Human Illness in the United States, 2007-2024"	Ella Joo	"Daniel Weller, Centers for Disease Control and Prevention"	B3B4	West	544	586	vertical	#00bf63
Biology	B-4	"Environmental Drivers for Vibriosis Incidence in United States Coastal Counties, 2019–2025"	Jenny Ngo	"David Holcomb, Centers for Disease Control and Prevention"	B3B4	East	544	586	vertical	#00bf63
Biology	B-5	Pangenomic Landscapes of Fusarium: Mapping Virulence and Adaptation Across Hosts and Niches	Diego Pacheco	"Dr. Silvia Restrepo, Boyce Thompson Institute"	B5B6	West	601	586	vertical	#00bf63
Biology	B-6	Conserved and Divergent DsrA-Dependent RpoS Cold Shock Regulation Across Enterobacteriaceae	Sarah Liu	"Daniel M. Stoebel, Professor of Biology Chair, Department of Biology, PhD, Stony Brook University"	B5B6	East	601	586	vertical	#00bf63
Biology	B-7	How do native California harvester ants survive despite Argentine ant invasion?	Pranay Gupta	Professor Matina Donaldson-Matasci	B7B8	West	657	586	vertical	#00bf63
"Biology, Chemistry"	BC-1	Development of a Charge Variant Analysis Workflow Using the NISTmAb	Aum Pechkamnerd	"Josh Haleen & Manoj Pal, Janux Therapeutics"	BC1BE1	North	722	636	horizontal	#7ed957
"Biology, Engineering"	BE-1	"Identifying Demographic, Anatomical, and Clinical Indicators of Non-Operative Treatment Outcome for Patellar Instability"	Emily Bersin	"Marissa Sinopoli ’18, Assistant Professor of Engineering, PhD, Stanford University, Mechanical Engineering"	B7B8	East	657	586	vertical	#7ed957
"Biology, Hixon Center"	BHC-1	Assessing Stem Rehydration Optimization in Theobroma cacao via Hydraulic Responses to Drought	Taylor Baugh	"Joost van Haren, University of Arizona"	BHC1BHC2	North	722	688	horizontal	#7ed957
"Biology, Hixon Center"	BHC-2	3D Printed Dendrometers Capture Larrea tridentata Stem Fluctuations	Chloe Polin	"Jessica Guo, Assistant Professor of Climate and Biology"	BHC1BHC2	South	722	688	horizontal	#7ed957
"Biology, Hixon Center"	BHC-3	Stomatal traits are weakly associated with ploidy and minimum leaf conductance in Larrea tridentata	Clover Weiss	"Jessica Guo, Assistant Professor of Climate and Biology"	BHC3BM1	North	722	739	horizontal	#7ed957
"Biology, Mathematics"	BM-1	A Validated Mathematical Model of ICI Therapy	"Jacob Sesate, Zoya Khawaja, Kelly Cheng"	Professor Lisette de Pillis	BHC3BM1	South	722	739	horizontal	#7ed957
Chemistry	C-1	Microcontact Printing of Polymers: a Laboratory Experiment in Materials Science	Alyna Prucnal	"Hal Van Ryswyk, John Stauffer Professor in Chemistry, PhD, University of Wisconsin-Madison"	C1C2	North	807	629	horizontal	#ff3131
Chemistry	C-2	Investigating Cold Crystallization in Metallopolymers	Tavo Jones	"Colm Healy, Assistant Professor of Chemistry, PhD, Trinity College"	C1C2	South	807	629	horizontal	#ff3131
Chemistry	C-3	Constructing HMC’s First p-i-n Quantum Dot Solar Cell: The Chemistry and Physics of Material Interfaces	Aidan Gallade	"Hal Van Ryswyk, John Stauffer Professor in Chemistry, PhD, University of Wisconsin-Madison"	C3C4	North	807	680	horizontal	#ff3131
Chemistry	C-4	Copper Nanoparticles for selective CO₂ conversion	"Charlotte Wong, Chidera Okoye"	"Michael Enright, San Francisco State University"	C3C4	South	807	680	horizontal	#ff3131
Chemistry	C-5	Stereoselective Synthesis and *In Vitro* Testing of Polycationic Antimicrobials	Leonardo Lam	"Spencer D. Brucks, Assistant Professor of Chemistry, PhD, Columbia University"	C5C6	North	807	731	horizontal	#ff3131
Chemistry	C-6	TCFH-NMI Mediated Pyrrole Cyclization Cascades	"Tiffany Wu, Jiakang Chen"	"David A. Vosburg, Donald A. Strauss Professor of Chemistry, PhD, Scripps Research Institute"	C5C6	South	807	731	horizontal	#ff3131
Chemistry	C-7	Solvent Free MOF Synthesis	"Thomas Wylie, Ash Ragins"	"Colm Healy, Assistant Professor of Chemistry, PhD, Trinity College"	C7C8	North	807	782	horizontal	#ff3131
Chemistry	C-8	Two-step synthesis of acylated pyrimidines through green TCFH-NMI coupling and nitrogen insertion	"Liesel Hilkemeyer, Nora O'Connor"	"David A. Vosburg, Donald A. Strauss Professor of Chemistry, PhD, Scripps Research Institute"	C7C8	South	807	782	horizontal	#ff3131
Chemistry	C-9	Modeling Heterogeneous Catalysis using Foundation ML Potentials	Selina Z. Yao	Professor Andrew L. Ferguson	C9C10	North	807	833	horizontal	#ff3131
Chemistry	C-10	A Computational Study of CO2 Mediated Decomposition Among Tautomerizable Carbone Catalysts	"Alexandra Ye, Aresema Ata"	"O. Maduka Ogba, Assistant Professor of Chemistry, PhD, Oregon State University"	C9C10	South	807	833	horizontal	#ff3131
Chemistry	C-11	Understanding and Promoting Probiotic Bacterial Growth and Biofilm Formation	"Brian Austin-Handy, Sophia Lemus (graduated)"	"Spencer D. Brucks, Assistant Professor of Chemistry, PhD, Columbia University"	C11C12	North	807	884	horizontal	#ff3131
Chemistry	C-12	Polymer Degradation in the Solid State	"Will Klick, Satoshi Klick"	"Spencer D. Brucks, Assistant Professor of Chemistry, PhD, Columbia University"	C11C12	South	807	884	horizontal	#ff3131
Chemistry	C-13	Mapping the Hydricities of Carbones	Michael Ferraioli	"O. Maduka Ogba, Assistant Professor of Chemistry, PhD, Oregon State University"	C13C14	North	807	935	horizontal	#ff3131
Chemistry	C-14	(Hidden) Brønsted Acid Catalyzed Sulfur(VI) Fluoride Exchange	Oliver Spaulding	"O. Maduka Ogba, Assistant Professor of Chemistry, PhD, Oregon State University"	C13C14	South	807	935	horizontal	#ff3131
Chemistry	C-15	Determining the Mechanism for Calcium-Catalyzed SuFEx with Silyl Amines	Cami Tauro	"O. Maduka Ogba, Assistant Professor of Chemistry, PhD, Oregon State University"	C15C16	North	807	986	horizontal	#ff3131
Chemistry	C-16	Design Criteria for Hydrogel-Forming Oligopeptides	Zoe He	"Bilin Zhuang, Assistant Professor of Chemistry, PhD, California Institute of Technology"	C15C16	South	807	986	horizontal	#ff3131
"Chemistry, Physics"	CP-1	Solvation Free Energy Calculations for Hybrid Adaptive Molecular Simulation	Alyssa Hill	"Bilin Zhuang, Assistant Professor of Chemistry, PhD, California Institute of Technology"	CP1CEHSA1	North	721	821	horizontal	#ff5757
"Chemistry, Engineering, HSA"	CEHSA-1	"Anaerobic Co-Digestion of Industrial, Commercial, and Institutional Organic Food Waste in the City of Waterloo"	"Diego Silva, Leonardo Robles, Shruthi Kaushik"	"Gordon Krauss, Professor of Engineering, PhD, Boston University, Mechanical Engineering"	CP1CEHSA1	South	721	821	horizontal	#ff5757
"Chemistry, Computer Science, Engineering, Hixon Center"	CCSEHC-1	"How effective is a PC fan DIY box air filter at reducing indoor PM 2.5 related to wildfires, fireworks, and summertime smog in Los Angeles?"	Esteban Gonzalez	"Professor Julie Medero, Professor Lelia Hawkins"	CCSEHC1CCSHC1	North	721	872	horizontal	#ff5757
"Chemistry, Computer Science, Hixon Center"	CCSHC-1	Synthesizing olfactory data across disciplines to model perception	Tzaara Jauhar	"Sarah C. Kavassalis, Assistant Professor of Climate and Chemistry, PhD, University of Toronto / Calden Wloka, Assistant Professor of Computer Science"	CCSEHC1CCSHC1	South	721	872	horizontal	#ff5757
"Chemistry, Hixon Center"	CHC-1	Understanding Artemisia californica VOCs	Megan Juza	"Sarah C. Kavassalis, Assistant Professor of Climate and Chemistry, PhD, University of Toronto"	CHC1EXTRA	North	721	922	horizontal	#ff5757
